rank,id,minplayers,maxplayers,maxplaytime,average_rating,age,total_owners,total_weights,mechanic_count,category_count,designer_count,name_clean,category_clean_Adventure,category_clean_Educational,category_clean_Era,category_clean_Expansion for Base-game,category_clean_Other,category_clean_Strategy,category_clean_Wargame,mechanic_clean_Co-op,mechanic_clean_Dice_Rolling,mechanic_clean_Movement,mechanic_clean_Other,mechanic_clean_PVP,mechanic_clean_Role_Playing,category_clean,mechanic_clean
1,174430,1,4,120,8.91603,12,36778,3.7768,9,5,1,Gloomhaven,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
2,161936,2,4,60,8.65105,13,47498,2.8323,7,2,2,Pandemic Legacy Season ,0,1,0,0,0,0,0,0,0,0,1,0,0,Educational,Other
3,182028,2,4,120,8.55251,14,18489,4.3715,3,3,1,Through the Ages A New Story of Civilization,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
4,167791,1,5,120,8.39916,12,45204,3.2344,6,6,1,Terraforming Mars,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
5,12333,2,2,180,8.32843,13,45955,3.5627,5,3,2,Twilight Struggle,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
6,187645,2,4,240,8.4542,14,23989,3.6698,6,5,1,Star Wars Rebellion,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
7,169786,1,5,115,8.2913,14,47847,3.3694,3,4,1,Scythe,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
8,220308,1,4,150,8.58107,12,10125,4.3028,4,5,2,Gaia Project,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
9,193738,2,4,150,8.28646,12,21513,3.6929,4,2,1,Great Western Trail,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
10,120677,2,5,150,8.2038,12,35078,3.9507,4,4,2,Terra Mystica,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
11,233078,3,6,480,8.76321,14,7886,4.1992,10,7,3,Twilight Imperium Fourth Edition,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
12,115746,2,4,180,8.40905,13,15130,4.0538,5,7,3,War of the Ring Second Edition,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
13,84876,2,4,90,8.12803,12,49353,3.0173,3,3,1,The Castles of Burgundy,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
14,173346,2,2,30,8.13145,10,59111,2.2319,2,4,2, Wonders Duel,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
15,180263,1,4,1000,8.46918,14,15904,2.8755,6,4,2,The th Continent,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
16,162886,1,4,120,8.39401,13,13743,3.9416,8,7,1,Spirit Island,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
17,3076,3,5,150,8.04317,12,64351,3.2898,1,3,1,Puerto Rico,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
18,205637,1,2,120,8.23253,14,29728,3.2869,6,6,2,Arkham Horror The Card Game,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
19,183394,1,6,90,8.14783,13,21547,2.924,2,2,3,Viticulture Essential Edition,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
20,124361,2,5,100,8.09648,13,21776,3.0886,4,3,1,Concordia,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
21,102794,1,7,210,8.08256,12,29160,3.7861,2,4,1,Caverna The Cave Farmers,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
22,224517,2,4,120,8.6513,14,9147,3.8815,2,3,3,Brass Birmingham,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
23,28720,2,4,120,8.11454,14,18886,3.8733,2,3,1,Brass Lancashire,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
24,31260,1,5,150,7.99858,12,67305,3.6344,5,3,1,Agricola,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
25,96848,1,4,240,8.1059,14,33551,4.2615,10,4,1,Mage Knight Board Game,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
26,205059,1,5,180,8.1684,14,24279,2.6735,8,8,1,Mansions of Madness Second Edition,1,0,0,0,0,0,0,0,0,1,0,0,0,Adventure,Movement
27,164928,2,4,90,8.08606,12,17601,3.0855,3,3,1,Orleans,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
28,170216,2,4,90,8.04082,14,29844,2.89,7,4,1,Blood Rage,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
29,175914,2,5,240,8.19481,14,11147,4.1936,5,2,2,Food Chain Magnate,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
30,177736,1,4,120,8.17143,12,13651,3.8434,6,4,1,A Feast for Odin,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
31,209010,2,4,90,8.14951,14,16181,2.4416,7,4,5,Mechs vs Minions,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
32,55690,1,4,180,8.82407,17,7871,4.2394,5,6,1,Kingdom Death Monster,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
33,221107,2,4,60,8.3001,14,14260,3.1982,6,3,2,Pandemic Legacy Season ,0,1,0,0,0,0,0,1,0,0,0,0,0,Educational,Co-op
34,164153,2,5,120,8.09534,14,27593,3.2923,6,6,3,Star Wars Imperial Assault,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
35,25613,2,4,240,7.99983,12,16670,4.1704,4,2,1,Through the Ages A Story of Civilization,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
36,2651,2,6,120,7.89567,12,56693,3.2789,2,2,1,Power Grid,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
37,230802,2,4,45,7.95386,8,34500,1.8074,4,2,1,Azul,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
38,72125,2,6,180,7.95291,14,25085,3.6917,8,5,1,Eclipse,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
39,126163,2,4,90,7.92926,13,27292,3.6476,2,5,2,Tzolkin The Mayan Calendar,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
40,35677,1,5,150,7.89822,12,25021,3.7537,1,4,1,Le Havre,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
41,121921,1,4,120,7.92077,14,39332,3.7477,8,4,1,Robinson Crusoe Adventures on the Cursed Island,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
42,171623,2,4,100,7.95029,12,17281,3.1981,6,4,2,The Voyages of Marco Polo,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
43,124742,2,2,45,7.90172,14,37530,3.3659,4,4,2,Android Netrunner,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
44,216132,1,4,120,8.08076,12,10900,3.4377,4,2,1,Clans of Caledonia,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
45,68448,2,7,30,7.78778,10,87834,2.341,5,4,1, Wonders,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
46,122515,2,6,120,7.86463,12,18659,3.3456,8,5,2,Keyflower,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
47,18602,2,5,150,7.81901,12,24686,3.8171,1,3,1,Caylus,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
48,28143,2,4,60,7.76297,12,47943,2.976,4,5,1,Race for the Galaxy,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
49,62219,2,6,240,7.85781,14,16343,4.0321,7,3,1,Dominant Species,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
50,205896,3,5,120,8.04423,14,14369,3.2404,8,6,1,Rising Sun,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
51,159675,1,2,120,8.1511,13,8802,3.9079,1,3,1,Fields of Arle,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
52,12493,3,6,240,7.87888,14,19121,4.2468,10,6,1,Twilight Imperium Third Edition,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
53,110327,2,5,120,7.76876,12,45833,2.4839,4,2,2,Lords of Waterdeep,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
54,157354,2,4,80,7.78508,13,32042,2.8857,5,4,1,Five Tribes,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
55,146021,1,8,240,7.87216,14,33774,3.3096,6,5,2,Eldritch Horror,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
56,178900,2,8,15,7.72947,14,76673,1.3161,3,5,1,Codenames,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
57,93,2,5,120,7.78039,12,20029,3.069,7,2,2,El Grande,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
58,185343,1,4,120,8.13352,15,9415,3.9564,6,2,3,Anachrony,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
59,40834,2,4,30,7.74884,13,38220,2.4377,3,2,1,Dominion Intrigue,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
60,201808,2,4,60,7.82965,12,20521,2.2015,5,2,1,Clank A DeckBuilding Adventure,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
61,163412,2,2,30,7.72539,8,46330,1.6884,3,2,1,Patchwork,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
62,125153,1,4,150,8.02832,13,8898,4.2786,3,1,1,The Gallerist,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
63,172386,2,4,150,7.93701,12,10421,3.8974,9,1,1,Mombasa,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
64,146508,2,4,90,7.78847,12,27538,2.6348,4,4,2,TIME Stories,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
65,37111,3,6,300,7.74554,10,32364,3.2328,7,7,1,Battlestar Galactica The Board Game,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
66,132531,2,5,45,7.74083,13,26035,2.7585,5,5,2,Roll for the Galaxy,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
67,73439,2,4,90,7.76585,12,15847,3.4557,3,3,3,Troyes,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
68,2511,1,8,120,7.80458,10,25517,2.7137,2,5,3,Sherlock Holmes Consulting Detective The Thames Murders  Other Cases,0,0,0,0,0,1,0,1,0,0,0,0,0,Strategy,Co-op
69,144733,2,4,120,7.79446,12,12661,3.4114,1,2,2,Russian Railroads,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
70,42,2,4,90,7.70947,12,25317,3.5272,4,3,1,Tigris  Euphrates,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
71,103885,2,2,45,7.77442,14,34145,2.4777,5,7,1,Star Wars XWing Miniatures Game,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
72,102680,2,4,120,7.78257,12,14164,3.6772,4,2,1,Trajan,0,0,1,0,0,0,0,0,0,1,0,0,0,Era,Movement
73,150376,2,5,120,7.69723,13,43146,3.0056,10,4,2,Dead of Winter A Crossroads Game,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
74,30549,2,4,45,7.64414,8,118345,2.4232,7,1,1,Pandemic,0,1,0,0,0,0,0,0,0,0,1,0,0,Educational,Other
75,36218,2,4,30,7.64993,13,86712,2.3644,3,2,1,Dominion,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
76,127023,2,5,120,7.75469,13,15068,2.991,5,4,2,Kemet,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
77,521,2,4,30,7.78315,8,6875,1.2699,1,1,1,Crokinole,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
78,198928,2,5,45,8.00295,8,11237,2.6207,7,1,2,Pandemic Iberia,0,1,0,0,0,0,0,0,0,0,1,0,0,Educational,Other
79,237182,2,4,90,8.11487,10,8129,3.4603,6,3,1,Root,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
80,161533,1,4,120,8.21851,12,6431,4.513,4,3,1,Lisboa,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
81,104162,2,5,120,7.73477,14,29762,3.2046,7,5,4,Descent Journeys in the Dark Second Edition,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
82,34635,2,4,90,7.60542,10,39944,2.4933,3,2,1,Stone Age,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
83,175155,2,4,180,7.99446,14,9933,3.7946,5,5,3,Forbidden Stars,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
84,161970,2,4,120,7.70907,13,18390,3.8524,4,2,1,Alchemists,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
85,194655,2,4,20,7.68658,8,26201,1.7528,3,3,1,Santorini,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
86,9609,2,4,120,7.78172,12,12019,3.8404,6,6,3,War of the Ring First Edition,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
87,146652,1,5,60,7.80642,17,12891,2.7072,6,5,2,Legendary Encounters An Alien Deck Building Game,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
88,147020,2,2,20,7.61543,12,40457,1.9614,4,3,2,Star Realms,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
89,155426,1,4,90,7.63546,13,23730,2.6613,5,2,1,Castles of Mad King Ludwig,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
90,200680,1,4,120,8.1699,12,6177,3.3862,4,3,1,Agricola Revised Edition,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
91,196340,2,4,90,7.93322,14,8219,3.3169,5,1,1,Yokohama,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
92,103343,3,6,240,7.66973,14,30549,3.686,7,6,1,A Game of Thrones The Board Game Second Edition,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
93,148949,2,5,60,7.61865,10,23956,2.5889,4,1,1,Istanbul,0,0,0,0,0,1,0,0,1,0,0,0,0,Strategy,Dice_Rolling
94,170042,2,4,120,7.82449,12,11305,2.5661,3,2,1,Raiders of the North Sea,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
95,128882,5,10,30,7.636,13,30467,1.7772,5,8,1,The Resistance Avalon,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
96,172287,2,4,90,7.79854,10,12230,2.5479,5,6,1,Champions of Midgard,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
97,14996,2,5,60,7.56285,8,61155,1.9555,4,1,1,Ticket to Ride Europe,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
98,70149,1,4,180,7.72628,13,10665,3.9056,5,6,1,Ora et Labora,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
99,182874,2,4,120,7.7828,12,9676,3.2273,3,1,2,Grand Austria Hotel,0,0,0,0,0,1,0,0,1,0,0,0,0,Strategy,Dice_Rolling
100,43111,3,4,120,7.67387,13,13669,3.1805,8,5,1,Chaos in the Old World,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
101,155068,2,4,60,7.83709,13,12211,2.5235,4,4,4,Arcadia Quest,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
102,17133,2,6,120,7.68835,10,10927,3.0243,6,3,2,Railways of the World,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
103,123260,1,4,90,7.57547,8,22118,2.7758,3,2,1,Suburbia,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
104,14105,2,2,60,7.7789,12,9360,2.6949,5,2,1,Commands  Colors Ancients,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
105,126042,1,5,200,7.6765,14,10742,3.5391,2,3,4,Nations,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
106,171131,2,8,60,7.6567,14,15152,2.114,7,4,2,Captain Sonar,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
107,77423,1,2,60,7.63624,13,27295,3.1466,3,5,1,The Lord of the Rings The Card Game,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
108,155821,2,4,90,7.79003,14,10579,2.8856,6,4,1,Inis,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
109,21050,2,2,180,7.91641,12,6917,3.2255,4,2,1,Combat Commander Europe,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
110,191189,1,4,60,8.05285,14,7425,2.8505,6,3,1,Aeons End,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
111,224037,2,4,30,7.74377,11,14676,1.2857,3,4,2,Codenames Duet,0,0,0,0,1,0,0,1,0,0,0,0,0,Other,Co-op
112,39463,3,5,120,7.56096,12,28405,2.5672,6,4,5,Cosmic Encounter,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
113,91,2,2,480,8.01437,14,7193,3.8279,3,2,1,Paths of Glory,0,0,0,0,0,0,1,0,0,0,0,1,0,Wargame,PVP
114,54043,2,2,30,7.51868,12,37437,1.5164,3,2,1,Jaipur,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
115,10630,2,8,60,7.55044,8,28538,2.2753,7,3,1,Memoir ,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
116,195421,2,4,120,7.95572,13,10612,2.7708,7,2,1,Near and Far,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
117,43015,2,5,90,7.62848,12,9731,3.1316,3,1,1,Hansa Teutonica,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
118,104006,2,4,90,7.5497,12,21720,3.0724,2,2,2,Village,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
119,203993,2,4,120,7.85963,12,6661,3.26,4,1,3,Lorenzo il Magnifico,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
120,9216,2,4,90,7.61094,12,10283,3.38,3,4,1,Goa,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
121,31627,2,3,60,7.64292,8,13987,1.9826,4,1,1,Ticket to Ride Nordic Countries,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
122,221194,1,4,120,7.9383,8,9723,2.9455,5,3,2,Dinosaur Island,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
123,4098,1,6,120,7.6945,13,6733,3.9273,5,3,1,Age of Steam,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
124,199561,1,4,45,7.59608,14,19751,1.8831,4,2,2,Sagrada,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
125,146886,1,4,120,7.72487,12,8748,3.5811,6,2,2,La Granja,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
126,148228,2,4,30,7.47944,10,58915,1.8182,2,3,1,Splendor,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
127,215,4,4,60,7.59061,10,17643,2.3394,4,1,1,Tichu,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
128,27833,3,5,90,7.6298,10,9569,3.4576,4,3,1,Steam,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
129,176189,1,6,180,7.75839,10,16250,2.5526,4,7,3,Zombicide Black Plague,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
130,188,2,2,180,7.65159,8,17601,3.99,1,1,1,Go,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
131,555,2,5,100,7.55396,12,14850,3.2531,2,2,3,The Princes of Florence,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
132,233371,2,4,60,7.91531,13,7213,2.5373,6,1,1,Clank In Space,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
133,129437,1,5,45,7.60501,14,25093,2.4609,2,2,1,Legendary A Marvel Deck Building Game,0,0,0,0,1,0,0,1,0,0,0,0,0,Other,Co-op
134,128621,2,6,90,7.66104,13,7513,2.9386,2,2,2,Viticulture,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
135,9209,2,5,60,7.45147,8,76838,1.8649,4,1,1,Ticket to Ride,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
136,197376,1,6,75,7.73977,14,15464,2.8421,3,3,1,Charterstone,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
137,118048,2,2,60,7.60796,12,12637,2.3711,3,1,1,Targi,0,0,0,0,1,0,0,0,0,1,0,0,0,Other,Movement
138,20551,3,5,120,7.55853,12,11803,3.3731,6,3,1,Shogun,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
139,12,2,5,60,7.47494,12,16468,2.3529,3,2,1,Ra,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
140,175640,1,4,135,8.27804,14,4963,4.0753,3,2,1,Vinhos Deluxe Edition,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
141,25021,2,2,180,8.04907,12,5777,2.7636,3,3,1,Sekigahara The Unification of Japan,0,0,0,0,0,0,1,0,0,0,1,0,0,Wargame,Other
142,31481,2,4,60,7.44018,10,26198,2.3242,3,4,1,Galaxy Trucker,0,0,0,0,0,1,0,0,1,0,0,0,0,Strategy,Dice_Rolling
143,54998,2,5,90,7.52653,13,16209,2.8248,7,7,2,Cyclades,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
144,822,2,5,45,7.42882,8,117803,1.9263,2,3,1,Carcassonne,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
145,192135,1,4,120,8.55164,12,3812,3.8018,6,3,2,Too Many Bones,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
146,154203,1,4,90,7.4891,10,22871,2.771,4,4,2,Imperial Settlers,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
147,188920,1,6,120,7.94449,18,9567,3.0809,9,5,2,This War of Mine The Board Game,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
148,463,2,2,20,7.46647,13,30014,3.1719,2,4,1,Magic The Gathering,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
149,7854,2,2,60,7.68257,9,7791,2.7083,2,1,1,YINSH,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
150,163068,2,4,180,7.83815,14,7698,4.1141,5,1,2,Trickerion Legends of Illusion,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
151,192291,2,8,20,7.5334,8,23299,1.3385,4,2,1,Sushi Go Party,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
152,24181,2,6,180,7.61971,13,6681,3.5748,3,3,1,Imperial,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
153,97207,2,4,90,7.52482,13,14181,3.5754,4,3,1,Dungeon Petz,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
154,182631,2,2,20,7.91802,12,9916,1.9412,4,3,2,Star Realms Colony Wars,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
155,140620,1,5,120,7.52271,14,12913,3.3339,5,2,1,Lewis  Clark,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
156,22545,2,5,120,7.56248,10,7906,3.1286,3,4,1,Age of Empires III The Age of Discovery,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
157,236457,1,5,80,8.00974,12,6641,2.7744,4,2,2,Architects of the West Kingdom,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
158,19857,2,5,60,7.49266,12,13161,2.9266,4,4,2,Glory to Rome,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
159,155873,2,6,120,8.05595,12,5286,3.2054,2,2,1,Power Grid Deluxe EuropeNorth America,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
160,234,2,2,200,7.81875,12,6988,3.4265,5,3,1,Hannibal Rome vs Carthage,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
161,176494,2,5,50,7.46541,8,19448,2.2442,3,2,2,Isle of Skye From Chieftain to King,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
162,156129,4,12,20,7.54549,14,15862,1.596,2,4,1,Deception Murder in Hong Kong,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
163,146439,2,2,90,7.82755,14,7945,2.7679,5,3,2,BattleLore Second Edition,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
164,27708,2,2,120,7.59493,12,9293,3.2035,3,1,2, The Making of the President,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
165,93260,2,4,60,7.56206,9,12322,2.5185,4,3,1,Summoner Wars Master Set,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
166,127060,2,4,120,7.57573,12,10710,3.7441,3,1,1,Bora Bora,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
167,59294,2,4,240,7.67397,14,9322,3.7653,6,4,1,Runewars,1,0,0,0,0,0,0,0,0,0,0,1,0,Adventure,PVP
168,82222,3,5,180,7.80884,12,8052,3.1395,8,7,1,Xia Legends of a Drift System,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
169,198994,2,4,30,7.71022,12,13611,1.9394,4,3,2,Hero Realms,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
170,193037,2,5,120,7.7904,14,13044,3.4318,9,6,2,Dead of Winter The Long Night,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
171,38453,1,5,30,7.47382,12,18470,2.9439,5,4,1,Space Alert,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
172,108745,2,4,60,7.44424,14,20639,2.7716,4,3,1,Seasons,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
173,421,2,7,360,7.85317,14,5571,4.1571,4,3,1, Railways  Robber Barons,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
174,203420,1,6,120,7.69788,12,8775,2.5733,1,3,2,Exit The Game  The Abandoned Cabin,0,0,0,0,0,1,0,1,0,0,0,0,0,Strategy,Co-op
175,101721,2,2,90,7.69809,13,11691,3.6561,4,3,2,Mage Wars Arena,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
176,48726,2,4,90,7.45818,13,13380,2.5718,4,2,1,Alien Frontiers,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
177,92828,3,12,30,7.4855,8,17616,1.2192,4,3,1,Dixit Odyssey,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
178,188834,5,10,45,7.5871,13,14199,1.6944,3,8,3,Secret Hitler,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
179,66589,2,5,90,7.56797,12,6820,3.0952,1,4,1,Navegador,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
180,172818,2,4,90,7.52197,13,14890,2.5401,7,8,1,Above and Below,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
181,181304,2,7,42,7.41178,10,33267,1.9168,3,3,2,Mysterium,0,0,0,0,0,1,0,1,0,0,0,0,0,Strategy,Co-op
182,3,2,4,60,7.44023,10,13406,2.5029,4,2,1,Samurai,0,0,0,0,0,1,0,0,0,0,0,1,0,Strategy,PVP
183,181279,2,5,180,7.58145,14,15172,3.199,4,5,3,Fury of Dracula thirdfourth edition,1,0,0,0,0,0,0,0,0,0,1,0,0,Adventure,Other
