rank,id,minplayers,maxplayers,maxplaytime,average_rating,age,total_owners,total_weights,mechanic_count,category_count,designer_count,name_clean,category_clean_Adventure,category_clean_Educational,category_clean_Era,category_clean_Expansion for Base-game,category_clean_Other,category_clean_Strategy,category_clean_Wargame,mechanic_clean_Co-op,mechanic_clean_Dice_Rolling,mechanic_clean_Movement,mechanic_clean_Other,mechanic_clean_PVP,mechanic_clean_Role_Playing,category_clean,mechanic_clean
2395,20080,2,4,60,6.33262,8,1966,2.1761,2,2,1,Aqua Romana,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
2396,29308,2,4,60,6.33937,10,2558,2.1538,2,4,2,Beowulf The Movie Board Game,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2397,7104,2,2,20,7.21834,12,764,1.78,2,3,1,Ace of Aces Powerhouse Series,1,0,0,0,0,0,0,0,0,0,0,0,1,Adventure,Role_Playing
2398,3986,2,4,180,7.11238,12,1062,2.1143,3,2,2,Battle for Germany,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2399,86955,3,6,90,6.26218,10,7419,1.9406,3,4,1,Munchkin Zombies,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2400,220632,2,5,60,7.93655,14,1094,2.1667,1,2,1,Monster Slaughter,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2401,8817,2,2,30,6.8894,12,990,2.5484,2,4,1,Call of Cthulhu Collectible Card Game,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2402,37208,2,2,25,6.59073,12,1357,1.9104,1,3,1,Court of the Medici,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2403,213492,2,5,30,6.83561,10,1063,1.9333,2,2,2,Pyramids,0,0,1,0,0,0,0,0,0,0,1,0,0,Era,Other
2404,102898,2,5,60,6.65769,10,1464,2.1522,3,3,1,Sewer Pirats,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2405,6581,2,2,360,8.12049,16,1012,4.2143,3,3,2,Korea The Forgotten War,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2406,58601,2,2,480,8.28385,14,1068,3.6333,2,2,1,Advanced Squad Leader Starter Kit Expansion Pack ,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2407,17804,2,5,90,6.76211,12,1674,3.0351,4,4,1,Dungeons  Dragons Basic Game,1,0,0,0,0,0,0,1,0,0,0,0,0,Adventure,Co-op
2408,42898,2,2,30,6.45378,8,2687,1.8538,2,2,2,Pocket Battles Celts vs Romans,0,0,1,0,0,0,0,0,0,1,0,0,0,Era,Movement
2409,153728,2,2,180,8.04933,13,915,3.1875,3,2,1,Fields of Despair France ,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2410,139992,2,4,60,6.80996,14,1712,2.5294,5,2,1,Kaosball The Fantasy Sport of Total Domination,0,0,0,0,1,0,0,0,0,0,0,1,0,Other,PVP
2411,245271,2,5,60,6.91637,10,2091,2.7727,5,2,1,Forbidden Sky,0,0,0,0,1,0,0,0,0,0,1,0,0,Other,Other
2412,18291,0,0,0,6.93322,0,989,2.375,2,3,3,Unpublished Prototype,0,0,0,0,1,0,0,0,0,0,0,0,1,Other,Role_Playing
2413,1710,1,2,300,7.05791,12,1426,3.878,1,2,3,The Siege of Jerusalem Third Edition,0,0,1,0,0,0,0,0,0,0,0,1,0,Era,PVP
2414,2290,2,2,15,6.37602,6,1775,1.315,2,3,1,Phantoms vs Phantoms,0,0,0,0,0,1,0,0,0,1,0,0,0,Strategy,Movement
2415,3154,2,4,120,6.38554,12,2399,2.6667,2,5,2,Nautilus,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2416,38657,1,4,30,6.40437,8,1467,1.6579,2,2,1,Cities,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2417,253618,2,5,5,7.25309,8,1492,1.125,3,3,1,Minute Marvel,0,0,0,0,1,0,0,1,0,0,0,0,0,Other,Co-op
2418,187353,2,2,60,7.50212,14,1090,2.6667,3,4,2,Marvel Dice Masters Civil War,0,0,0,0,0,1,0,0,0,0,1,0,0,Strategy,Other
2419,207572,2,2,900,8.27185,0,1281,3.7619,2,2,1,Holland  Operation MarketGarden,0,0,0,0,0,0,1,0,1,0,0,0,0,Wargame,Dice_Rolling
2420,357,3,6,30,6.31411,8,1331,1.1409,2,2,1,Excape,0,0,0,0,1,0,0,0,1,0,0,0,0,Other,Dice_Rolling
2421,171129,2,4,20,6.53226,6,1792,1.16,1,4,1,Spinderella,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
2422,146408,2,8,45,6.77003,13,2044,2.5,5,2,3,Sentinel Tactics The Flame of Freedom,1,0,0,0,0,0,0,0,1,0,0,0,0,Adventure,Dice_Rolling
